signup_month,last_active,close_month,reason_code,tenure_months,channel,region,age_band,promo,first_account_tier,last_account_tier,max_fee,total_revenue,churned
2022-01,2022-02,2022-03,Unknown,2,Online,North,55-64,False,Silver,Silver,11,22,True
2022-01,2022-04,2022-05,Unknown,4,Online,Scotland,25-34,True,Gold,Gold,0,0,True
2022-01,2024-01,2024-02,Unknown,25,Branch,Scotland,25-34,False,Classic,Gold,18,411,True
2022-01,2024-12,,,36,Broker/IFA,Midlands,35-44,False,Gold,Platinum,28,878,False
2022-01,2024-12,,,36,Outbound,South East,25-34,True,Silver,Classic,11,286,False
2022-01,2024-12,,,36,Branch,South East,25-34,False,Platinum,Gold,28,808,False
2022-01,2022-03,,Unknown,3,Comparison Site,South East,25-34,True,Classic,Classic,0,0,True
2022-01,2022-09,2022-10,Unknown,9,Online,Wales & NI,25-34,False,Silver,Classic,11,77,True
2022-01,2024-12,,,36,Comparison Site,Scotland,35-44,False,Silver,Gold,18,564,False
2022-01,2024-12,,,36,Comparison Site,Midlands,18-24,True,Gold,Gold,18,540,False
2022-01,2022-11,,Unknown,11,Outbound,South East,35-44,True,Classic,Classic,11,22,True
2022-01,2022-06,2022-07,Unknown,6,Broker/IFA,London,18-24,False,Classic,Silver,11,44,True
2022-01,2024-12,,,36,Comparison Site,South East,25-34,False,Classic,Classic,11,99,False
2022-01,2023-09,2023-10,Unknown,21,Online,North,35-44,True,Gold,Gold,18,270,True
2022-01,2024-12,,,36,Comparison Site,South East,35-44,False,Silver,Gold,18,613,False
2022-01,2024-12,,,36,Branch,Midlands,35-44,False,Gold,Platinum,28,659,False
2022-01,2022-04,2022-05,Unknown,4,Branch,London,35-44,False,Gold,Gold,18,72,True
2022-01,2022-05,2022-06,Unknown,5,Comparison Site,London,25-34,False,Classic,Silver,11,33,True
2022-01,2022-02,,Unknown,2,Online,Scotland,55-64,False,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Online,London,35-44,True,Gold,Gold,18,484,False
2022-01,2023-05,2023-06,Unknown,17,Comparison Site,Midlands,45-54,False,Classic,Silver,11,33,True
2022-01,2024-12,,,36,Online,London,18-24,False,Platinum,Platinum,28,1008,False
2022-01,2022-07,,Unknown,7,Online,South East,18-24,True,Silver,Silver,11,11,True
2022-01,2024-12,,,36,Branch,Wales & NI,25-34,True,Silver,Gold,28,600,False
2022-01,2022-05,2022-06,Unknown,5,Comparison Site,Scotland,45-54,True,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Branch,South East,55-64,False,Gold,Gold,28,778,False
2022-01,2023-08,2023-09,Unknown,20,Comparison Site,North,35-44,False,Silver,Silver,11,220,True
2022-01,2024-12,,,36,Branch,South East,18-24,False,Gold,Gold,18,620,False
2022-01,2024-12,,,36,Branch,South East,25-34,False,Platinum,Gold,28,868,False
2022-01,2023-11,,Unknown,23,Referral,Midlands,45-54,True,Classic,Gold,18,131,True
2022-01,2024-12,,,36,Online,South East,25-34,True,Classic,Silver,11,220,False
2022-01,2022-02,,Unknown,2,Comparison Site,South East,35-44,True,Gold,Gold,0,0,True
2022-01,2024-12,,,36,Outbound,North,35-44,True,Silver,Silver,11,330,False
2022-01,2024-12,,,36,Referral,North,18-24,True,Gold,Gold,18,407,False
2022-01,2022-03,2022-04,Unknown,3,Comparison Site,North,35-44,False,Classic,Classic,0,0,True
2022-01,2022-09,2022-10,Unknown,9,Comparison Site,London,45-54,True,Classic,Classic,0,0,True
2022-01,2022-02,2022-03,Unknown,2,Comparison Site,South East,35-44,True,Silver,Silver,0,0,True
2022-01,2024-08,2024-09,Unknown,32,Branch,London,55-64,False,Classic,Classic,18,491,True
2022-01,2024-12,,,36,Referral,South East,18-24,True,Classic,Silver,11,187,False
2022-01,2024-12,,,36,Referral,North,25-34,True,Silver,Platinum,28,542,False
2022-01,2024-12,,,36,Online,London,25-34,False,Platinum,Gold,28,798,False
2022-01,2022-02,2022-03,Unknown,2,Referral,North,35-44,False,Gold,Gold,18,36,True
2022-01,2022-09,2022-10,Unknown,9,Comparison Site,North,18-24,False,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Comparison Site,Midlands,25-34,True,Silver,Gold,18,491,False
2022-01,2023-04,2023-05,Unknown,16,Comparison Site,South East,35-44,True,Classic,Silver,11,110,True
2022-01,2022-09,2022-10,Unknown,9,Comparison Site,South East,18-24,True,Platinum,Platinum,28,84,True
2022-01,2022-06,2022-07,Unknown,6,Comparison Site,Scotland,25-34,True,Classic,Classic,0,0,True
2022-01,2023-01,,Unknown,13,Comparison Site,South East,35-44,False,Classic,Classic,11,66,True
2022-01,2024-12,,,36,Outbound,Midlands,55-64,False,Silver,Gold,18,466,False
2022-01,2022-04,,Unknown,4,Comparison Site,North,25-34,True,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Comparison Site,Scotland,25-34,True,Silver,Gold,18,491,False
2022-01,2022-05,2022-06,Unknown,5,Comparison Site,London,55-64,True,Silver,Silver,0,0,True
2022-01,2024-01,2024-02,Unknown,25,Comparison Site,North,45-54,True,Classic,Classic,0,0,True
2022-01,2022-01,,Unknown,1,Outbound,London,18-24,False,Classic,Classic,0,0,True
2022-01,2022-11,,Unknown,11,Outbound,London,45-54,True,Silver,Classic,0,0,True
2022-01,2022-01,,Unknown,1,Online,South East,35-44,True,Silver,Silver,0,0,True
2022-01,2024-12,,,36,Broker/IFA,Midlands,25-34,False,Gold,Silver,18,550,False
2022-01,2023-03,,Unknown,15,Comparison Site,Midlands,35-44,False,Silver,Silver,11,165,True
2022-01,2023-08,2023-09,Unknown,20,Outbound,North,35-44,False,Silver,Classic,11,165,True
2022-01,2022-08,2022-09,Unknown,8,Comparison Site,North,25-34,False,Silver,Gold,18,123,True
2022-01,2024-12,,,36,Branch,North,25-34,False,Platinum,Silver,28,836,False
2022-01,2022-02,2022-03,Unknown,2,Branch,Wales & NI,45-54,False,Gold,Gold,18,36,True
2022-01,2022-11,2022-12,Unknown,11,Outbound,London,45-54,True,Silver,Silver,11,55,True
2022-01,2023-02,,Unknown,14,Comparison Site,Wales & NI,25-34,False,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Referral,London,25-34,False,Silver,Gold,28,680,False
2022-01,2024-12,,,36,Referral,South East,25-34,False,Platinum,Gold,28,868,False
2022-01,2024-12,,,36,Branch,Wales & NI,25-34,False,Silver,Gold,18,503,False
2022-01,2024-05,,Unknown,29,Outbound,Wales & NI,55-64,False,Classic,Silver,11,286,True
2022-01,2024-12,,,36,Branch,North,45-54,False,Gold,Silver,18,571,False
2022-01,2024-12,,,36,Referral,Wales & NI,35-44,False,Gold,Gold,28,658,False
2022-01,2022-04,,Unknown,4,Comparison Site,London,65+,False,Gold,Gold,18,72,True
2022-01,2024-12,,,36,Comparison Site,Midlands,35-44,False,Classic,Classic,0,0,False
2022-01,2022-02,2022-03,Unknown,2,Branch,North,35-44,False,Silver,Silver,11,22,True
2022-01,2024-12,,,36,Broker/IFA,Scotland,55-64,False,Platinum,Silver,28,901,False
2022-01,2022-02,2022-03,Unknown,2,Comparison Site,Midlands,35-44,True,Classic,Classic,0,0,True
2022-01,2024-10,2024-11,Unknown,34,Comparison Site,London,25-34,False,Classic,Classic,11,22,True
2022-01,2022-01,,Unknown,1,Outbound,North,35-44,True,Gold,Gold,0,0,True
2022-01,2024-12,,,36,Branch,South East,35-44,False,Classic,Platinum,28,665,False
2022-01,2024-12,,,36,Online,Wales & NI,18-24,True,Classic,Gold,18,263,False
2022-01,2024-12,,,36,Broker/IFA,North,25-34,False,Gold,Platinum,28,848,False
2022-01,2024-12,,,36,Referral,Midlands,35-44,False,Platinum,Gold,28,928,False
2022-01,2024-12,,,36,Outbound,Wales & NI,45-54,True,Silver,Silver,18,435,False
2022-01,2022-07,2022-08,Unknown,7,Online,Scotland,25-34,True,Silver,Classic,0,0,True
2022-01,2023-03,2023-04,Unknown,15,Comparison Site,London,25-34,True,Silver,Classic,0,0,True
2022-01,2023-01,,Unknown,13,Comparison Site,Midlands,35-44,True,Silver,Silver,11,77,True
2022-01,2022-04,,Unknown,4,Online,London,55-64,False,Silver,Silver,11,44,True
2022-01,2024-12,,,36,Branch,South East,45-54,False,Gold,Silver,18,415,False
2022-01,2022-04,2022-05,Unknown,4,Referral,Midlands,25-34,False,Silver,Silver,11,44,True
2022-01,2022-08,2022-09,Unknown,8,Branch,North,35-44,False,Gold,Platinum,28,174,True
2022-01,2024-12,,,36,Online,London,25-34,False,Silver,Gold,18,641,False
2022-01,2024-12,,,36,Branch,Midlands,25-34,False,Silver,Gold,18,627,False
2022-01,2022-05,2022-06,Unknown,5,Online,South East,35-44,True,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Branch,London,35-44,False,Platinum,Platinum,28,888,False
2022-01,2022-04,2022-05,Unknown,4,Comparison Site,London,35-44,False,Silver,Classic,11,22,True
2022-01,2023-05,2023-06,Unknown,17,Online,London,55-64,True,Classic,Classic,11,110,True
2022-01,2022-01,,Unknown,1,Comparison Site,Scotland,18-24,True,Classic,Classic,0,0,True
2022-01,2022-03,,Unknown,3,Comparison Site,North,65+,True,Silver,Silver,0,0,True
2022-01,2024-12,,,36,Outbound,London,55-64,False,Gold,Gold,18,648,False
2022-01,2024-12,,,36,Branch,London,65+,False,Platinum,Platinum,28,1008,False
2022-01,2022-07,,Unknown,7,Outbound,North,25-34,True,Platinum,Platinum,28,28,True
2022-01,2024-12,,,36,Online,South East,25-34,True,Silver,Gold,18,540,False
2022-01,2023-06,2023-07,Unknown,18,Broker/IFA,Midlands,25-34,False,Platinum,Silver,28,447,True
2022-01,2022-07,2022-08,Unknown,7,Online,North,35-44,False,Gold,Gold,18,126,True
2022-01,2024-12,,,36,Branch,South East,18-24,False,Gold,Platinum,28,808,False
2022-01,2022-06,2022-07,Unknown,6,Outbound,Midlands,35-44,False,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Broker/IFA,South East,35-44,False,Platinum,Gold,28,878,False
2022-01,2022-04,,Unknown,4,Comparison Site,South East,35-44,True,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Referral,South East,18-24,False,Silver,Gold,28,753,False
2022-01,2024-11,2024-12,Unknown,35,Online,Scotland,25-34,False,Gold,Platinum,28,940,True
2022-01,2024-12,,,36,Referral,Midlands,35-44,False,Gold,Gold,28,908,False
2022-01,2023-01,2023-02,Unknown,13,Online,Scotland,25-34,False,Classic,Classic,0,0,True
2022-01,2024-11,2024-12,Unknown,35,Online,London,35-44,True,Gold,Platinum,28,782,True
2022-01,2024-12,,,36,Branch,North,35-44,False,Silver,Gold,18,480,False
2022-01,2024-04,2024-05,Unknown,28,Outbound,Scotland,25-34,True,Silver,Silver,11,242,True
2022-01,2022-02,2022-03,Unknown,2,Online,Midlands,18-24,True,Silver,Silver,0,0,True
2022-01,2024-05,,Unknown,29,Comparison Site,North,65+,True,Silver,Classic,11,121,True
2022-01,2023-03,,Unknown,15,Comparison Site,North,18-24,False,Silver,Silver,11,165,True
2022-01,2022-05,,Unknown,5,Comparison Site,London,25-34,False,Classic,Classic,0,0,True
2022-01,2022-09,,Unknown,9,Comparison Site,Scotland,35-44,False,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Branch,Scotland,65+,False,Gold,Silver,28,609,False
2022-01,2022-02,,Unknown,2,Outbound,South East,55-64,True,Classic,Classic,0,0,True
2022-01,2024-11,,Unknown,35,Comparison Site,North,35-44,False,Silver,Silver,18,553,True
2022-01,2024-04,,Unknown,28,Referral,North,65+,False,Gold,Gold,18,504,True
2022-01,2022-02,,Unknown,2,Broker/IFA,London,25-34,False,Gold,Gold,18,36,True
2022-01,2024-12,,,36,Branch,North,18-24,False,Gold,Silver,18,536,False
2022-01,2023-11,,Unknown,23,Referral,London,25-34,False,Platinum,Gold,28,574,True
2022-01,2024-12,,,36,Comparison Site,North,35-44,True,Silver,Classic,11,286,False
2022-01,2023-10,2023-11,Unknown,22,Broker/IFA,London,65+,False,Platinum,Platinum,28,616,True
2022-01,2022-01,2022-02,Unknown,1,Outbound,London,55-64,False,Classic,Classic,0,0,True
2022-01,2022-10,2022-11,Unknown,10,Comparison Site,South East,35-44,True,Classic,Silver,11,44,True
2022-01,2024-06,2024-07,Unknown,30,Outbound,North,25-34,False,Gold,Gold,28,670,True
2022-01,2022-11,,Unknown,11,Comparison Site,North,18-24,True,Silver,Silver,11,55,True
2022-01,2022-02,2022-03,Unknown,2,Comparison Site,London,25-34,False,Classic,Classic,0,0,True
2022-01,2023-06,,Unknown,18,Broker/IFA,North,45-54,False,Gold,Silver,18,247,True
2022-01,2023-11,,Unknown,23,Branch,North,25-34,False,Gold,Gold,18,414,True
2022-01,2022-01,,Unknown,1,Outbound,North,35-44,False,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Online,London,35-44,True,Silver,Gold,18,200,False
2022-01,2024-04,2024-05,Unknown,28,Online,Midlands,35-44,False,Classic,Silver,11,99,True
2022-01,2023-08,2023-09,Unknown,20,Comparison Site,London,35-44,True,Gold,Silver,18,168,True
2022-01,2024-12,,,36,Online,Scotland,55-64,True,Platinum,Gold,28,750,False
2022-01,2024-12,,,36,Online,Wales & NI,35-44,True,Platinum,Gold,28,830,False
2022-01,2023-01,2023-02,Unknown,13,Comparison Site,London,18-24,True,Silver,Classic,11,44,True
2022-01,2024-12,,,36,Online,London,35-44,True,Gold,Platinum,28,630,False
2022-01,2024-12,,,36,Branch,North,55-64,False,Silver,Silver,18,392,False
2022-01,2024-12,,,36,Comparison Site,Wales & NI,45-54,False,Silver,Classic,11,55,False
2022-01,2024-12,,,36,Comparison Site,South East,35-44,False,Silver,Silver,11,396,False
2022-01,2022-04,2022-05,Unknown,4,Online,London,55-64,True,Classic,Classic,0,0,True
2022-01,2023-01,2023-02,Unknown,13,Comparison Site,London,18-24,False,Silver,Classic,11,77,True
2022-01,2023-03,2023-04,Unknown,15,Referral,Wales & NI,45-54,False,Silver,Silver,11,165,True
2022-01,2022-03,2022-04,Unknown,3,Outbound,Wales & NI,25-34,False,Classic,Classic,0,0,True
2022-01,2024-10,,Unknown,34,Broker/IFA,London,25-34,True,Platinum,Classic,28,416,True
2022-01,2024-12,,,36,Referral,North,35-44,False,Platinum,Silver,28,672,False
2022-01,2022-04,2022-05,Unknown,4,Outbound,Midlands,25-34,False,Silver,Classic,11,22,True
2022-01,2022-06,2022-07,Unknown,6,Outbound,South East,55-64,False,Classic,Classic,0,0,True
2022-01,2022-02,2022-03,Unknown,2,Outbound,Scotland,45-54,True,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Online,Midlands,18-24,False,Gold,Platinum,28,768,False
2022-01,2022-01,2022-02,Unknown,1,Online,Scotland,35-44,False,Silver,Silver,11,11,True
2022-01,2024-09,,Unknown,33,Comparison Site,London,18-24,True,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Outbound,Midlands,18-24,False,Silver,Silver,11,396,False
2022-01,2024-02,2024-03,Unknown,26,Online,London,35-44,False,Silver,Classic,11,33,True
2022-01,2022-03,,Unknown,3,Branch,North,35-44,False,Classic,Classic,0,0,True
2022-01,2022-09,2022-10,Unknown,9,Referral,North,55-64,False,Silver,Silver,11,99,True
2022-01,2024-06,2024-07,Unknown,30,Branch,Midlands,25-34,False,Silver,Gold,18,477,True
2022-01,2022-06,,Unknown,6,Referral,Midlands,25-34,True,Platinum,Platinum,0,0,True
2022-01,2024-12,,,36,Online,Wales & NI,25-34,True,Silver,Gold,18,533,False
2022-01,2022-05,2022-06,Unknown,5,Online,South East,25-34,False,Classic,Classic,0,0,True
2022-01,2023-06,2023-07,Unknown,18,Referral,London,55-64,False,Gold,Silver,18,254,True
2022-01,2022-05,,Unknown,5,Comparison Site,London,45-54,False,Gold,Gold,18,90,True
2022-01,2022-08,2022-09,Unknown,8,Branch,North,45-54,False,Gold,Gold,18,144,True
2022-01,2022-12,2023-01,Unknown,12,Comparison Site,London,35-44,True,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Referral,London,45-54,False,Gold,Platinum,28,658,False
2022-01,2024-12,,,36,Referral,Midlands,45-54,False,Silver,Gold,18,181,False
2022-01,2022-10,2022-11,Unknown,10,Comparison Site,North,55-64,False,Classic,Silver,11,22,True
2022-01,2022-03,,Unknown,3,Branch,South East,45-54,True,Classic,Silver,0,0,True
2022-01,2024-12,,,36,Branch,Wales & NI,55-64,False,Platinum,Platinum,28,1008,False
2022-01,2022-08,2022-09,Unknown,8,Outbound,South East,35-44,True,Gold,Silver,11,22,True
2022-01,2022-03,2022-04,Unknown,3,Online,London,45-54,True,Silver,Silver,0,0,True
2022-01,2022-01,2022-02,Unknown,1,Branch,South East,55-64,False,Silver,Silver,11,11,True
2022-01,2024-12,,,36,Online,South East,35-44,True,Classic,Gold,18,378,False
2022-01,2022-01,2022-02,Unknown,1,Comparison Site,London,25-34,False,Classic,Classic,0,0,True
2022-01,2022-02,2022-03,Unknown,2,Comparison Site,North,45-54,True,Silver,Silver,0,0,True
2022-01,2022-10,,Unknown,10,Outbound,South East,45-54,True,Gold,Gold,18,72,True
2022-01,2024-12,,,36,Branch,London,25-34,False,Classic,Platinum,28,619,False
2022-01,2023-07,2023-08,Unknown,19,Comparison Site,Midlands,55-64,True,Silver,Silver,11,143,True
2022-01,2022-08,2022-09,Unknown,8,Online,London,35-44,False,Classic,Classic,0,0,True
2022-01,2022-11,2022-12,Unknown,11,Broker/IFA,South East,65+,False,Gold,Silver,18,149,True
2022-01,2024-12,,,36,Outbound,South East,45-54,False,Silver,Silver,11,132,False
2022-01,2024-07,2024-08,Unknown,31,Referral,London,35-44,False,Classic,Silver,11,88,True
2022-01,2022-01,,Unknown,1,Outbound,Scotland,65+,True,Silver,Silver,0,0,True
2022-01,2024-12,,,36,Branch,London,45-54,False,Platinum,Silver,28,887,False
2022-01,2022-12,,Unknown,12,Online,Scotland,45-54,False,Platinum,Gold,28,296,True
2022-01,2024-12,,,36,Branch,Scotland,55-64,True,Platinum,Platinum,28,710,False
2022-01,2024-12,,,36,Online,South East,25-34,True,Silver,Platinum,28,455,False
2022-01,2022-12,2023-01,Unknown,12,Online,South East,45-54,False,Platinum,Platinum,28,336,True
2022-01,2023-11,2023-12,Unknown,23,Online,North,35-44,True,Silver,Platinum,28,476,True
2022-01,2022-07,,Unknown,7,Comparison Site,South East,35-44,True,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Branch,South East,35-44,False,Platinum,Silver,28,821,False
2022-01,2024-12,,,36,Branch,Midlands,25-34,False,Classic,Gold,18,366,False
2022-01,2024-12,,,36,Branch,South East,65+,False,Platinum,Gold,28,788,False
2022-01,2024-07,,Unknown,31,Comparison Site,North,25-34,False,Silver,Silver,11,341,True
2022-01,2023-03,,Unknown,15,Outbound,South East,35-44,False,Gold,Silver,18,207,True
2022-01,2024-12,,,36,Outbound,Midlands,45-54,False,Classic,Gold,18,218,False
2022-01,2024-12,,,36,Comparison Site,London,35-44,True,Silver,Silver,11,330,False
2022-01,2024-12,,,36,Branch,North,35-44,True,Gold,Gold,18,540,False
2022-01,2023-02,2023-03,Unknown,14,Outbound,North,35-44,True,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Branch,London,45-54,False,Gold,Platinum,28,662,False
2022-01,2024-12,,,36,Referral,South East,35-44,False,Silver,Silver,18,445,False
2022-01,2024-06,2024-07,Unknown,30,Comparison Site,London,45-54,True,Gold,Silver,18,383,True
2022-01,2022-11,,Unknown,11,Online,Scotland,35-44,True,Classic,Classic,0,0,True
2022-02,2022-06,2022-07,Unknown,5,Comparison Site,North,45-54,True,Classic,Classic,0,0,True
2022-02,2024-05,2024-06,Unknown,28,Online,London,18-24,True,Gold,Gold,18,396,True
2022-02,2024-12,,,35,Online,South East,25-34,False,Silver,Gold,18,595,False
2022-02,2024-04,,Unknown,27,Branch,Wales & NI,35-44,False,Gold,Platinum,28,576,True
2022-02,2022-08,2022-09,Unknown,7,Comparison Site,London,25-34,True,Classic,Classic,0,0,True
2022-02,2024-12,,,35,Referral,Midlands,45-54,False,Silver,Gold,28,724,False
2022-02,2023-01,2023-02,Unknown,12,Online,North,35-44,False,Silver,Silver,11,99,True
2022-02,2024-11,2024-12,Unknown,34,Branch,London,18-24,False,Classic,Gold,18,495,True
2022-02,2024-12,,,35,Online,Midlands,45-54,True,Silver,Gold,28,642,False
2022-02,2024-12,,,35,Online,Midlands,45-54,False,Silver,Silver,18,469,False
2022-02,2022-02,,Unknown,1,Online,London,35-44,False,Silver,Silver,11,11,True
2022-02,2024-12,,,35,Online,London,45-54,True,Classic,Gold,18,387,False
2022-02,2022-11,2022-12,Unknown,10,Branch,South East,25-34,False,Platinum,Platinum,28,260,True
2022-02,2022-03,2022-04,Unknown,2,Online,London,45-54,False,Silver,Silver,11,22,True
2022-02,2024-07,,Unknown,30,Online,South East,35-44,False,Silver,Platinum,28,753,True
2022-02,2022-07,,Unknown,6,Referral,London,45-54,False,Classic,Classic,0,0,True
2022-02,2024-12,,,35,Online,London,25-34,False,Classic,Classic,11,33,False
